Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,WX KWO35,162.55,,0.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,50W,,,,,
1,TAC 1,147.36,+,0.6,TSQL,107.2,107.2,023,NN,023,Tone->Tone,FM,5,,50W,,,,,
2,TAC 2,147.165,+,0.6,TSQL,114.8,114.8,023,NN,023,Tone->Tone,FM,5,,50W,,,,,
3,TAC 3,145.23,-,0.6,TSQL,114.8,114.8,023,NN,023,Tone->Tone,FM,5,,50W,,,,,
4,TAC 4,440.6,+,5,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5,,50W,,,,,
5,TAC 5,443.85,+,5,TSQL,114.8,114.8,023,NN,023,Tone->Tone,FM,5,,50W,,,,,
6,TAC 6,447.625,-,5,TSQL,136.5,136.5,023,NN,023,Tone->Tone,AM,5,,50W,,,,,
7,TAC 7,445.875,-,5,TSQL,136.5,136.5,023,NN,023,Tone->Tone,FM,5,,50W,,,,,
8,TAC 8,441.1,+,5,TSQL,136.5,136.5,023,NN,023,Tone->Tone,FM,5,,50W,,,,,
9,TAC 9,449.025,-,5,TSQL,123,123,023,NN,023,Tone->Tone,FM,5,,50W,,,,,
10,TAC 10,449.875,-,5,TSQL,192.8,192.8,023,NN,023,Tone->Tone,FM,5,,50W,,,,,
11,TAC 11,147.36,off,0.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,50W,,,,,
12,TAC 12,147.165,off,0.6,TSQL,114.8,114.8,023,NN,023,Tone->Tone,FM,5,,50W,,,,,
13,TAC 13,145.23,off,0.6,TSQL,114.8,114.8,023,NN,023,Tone->Tone,FM,5,,50W,,,,,
14,TAC 14,440.6,off,5,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5,,50W,,,,,
15,TAC 15,443.85,off,5,TSQL,77,77,023,NN,023,Tone->Tone,FM,5,,50W,,,,,
16,TAC 16,447.625,off,5,TSQL,136.5,136.5,023,NN,023,Tone->Tone,FM,5,,50W,,,,,
17,TAC 17,445.875,off,5,TSQL,136.5,136.5,023,NN,023,Tone->Tone,FM,5,,50W,,,,,
18,TAC 18,441.1,off,5,TSQL,136.5,136.5,023,NN,023,Tone->Tone,FM,5,,50W,,,,,
19,TAC 19,449.025,off,5,TSQL,123,123,023,NN,023,Tone->Tone,FM,5,,50W,,,,,
20,TAC 20,449.875,off,5,TSQL,192.8,192.8,023,NN,023,Tone->Tone,FM,5,,50W,,,,,
21,TAC 21,146.52,off,0.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,50W,,,,,
22,TAC 22 ,146.535,off,0.6,TSQL,100,100,023,NN,023,Tone->Tone,AM,5,,50W,,,,,
23,TAC 23 ,146.55,off,0.6,TSQL,100,100,023,NN,023,Tone->Tone,FM,5,,50W,,,,,
24,TAC 24 ,146.565,off,0.6,TSQL,100,100,023,NN,023,Tone->Tone,FM,5,,50W,,,,,
25,TAC 25 ,146.58,off,0.6,TSQL,100,100,023,NN,023,Tone->Tone,FM,5,,50W,,,,,
26,TAC 26 ,147.525,off,0.6,TSQL,100,100,023,NN,023,Tone->Tone,FM,5,,50W,,,,,
27,TAC 27 ,147.54,off,0.6,TSQL,100,100,023,NN,023,Tone->Tone,FM,5,,50W,,,,,
28,TAC 28 ,147.555,off,0.6,TSQL,100,100,023,NN,023,Tone->Tone,FM,5,,50W,,,,,
29,TAC 29 ,147.57,off,0.6,TSQL,100,100,023,NN,023,Tone->Tone,FM,5,,50W,,,,,
30,TAC 30 ,144.3,off,0.6,TSQL,100,100,023,NN,023,Tone->Tone,FM,5,,50W,,,,,
31,TAC 31 ,446,off,5,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,50W,,,,,
32,TAC 32 ,446.025,off,5,TSQL,100,100,023,NN,023,Tone->Tone,FM,5,,50W,,,,,
33,TAC 33 ,446.05,off,5,TSQL,100,100,023,NN,023,Tone->Tone,FM,5,,50W,,,,,
34,TAC 34,446.075,off,5,TSQL,100,100,023,NN,023,Tone->Tone,FM,5,,50W,,,,,
35,WBGO,88.3,,0.6,,88.5,88.5,023,NN,023,Tone->Tone,WFM,5,,50W,,,,,
36,KQ2H NET RPTR,443.05,+,5,Tone,82.5,82.5,023,NN,023,Tone->Tone,FM,5,,50W,,,,,
37,W2LI RPTR,449.975,-,5,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,50W,,,,,
38,N2BUS RPTR,449.625,-,5,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,50W,,,,,
39,WA2SQQ RPTR,442,+,5,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,50W,,,,,
